"url","id","domain","title","description","license","images","creator_details","tags","date_posted","download_url","num_comments","num_likes","num_files","print_settings"
"https://www.thingiverse.com/thing:6678945","6678945","https://www.thingiverse.com/","Remixed body","Fit for Eleksmaker style X axis side plate that has belt pass-through.","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/3b/7e/10/2d/eb/f728a561-286a-4fe9-b19e-222299fbe3f9.png"",""https://cdn.thingiverse.com/assets/cb/fd/95/90/de/241bcb56-1131-421d-b1be-a43ca452adab.jpg""]","{""name"":""Fin***n68***"",""url"":""https://www.thingiverse.com/Finnian68""}",[],"2024-06-29T13:35:39.000Z","https://api.thingiverse.com/things/6678945/files",0,1,1,
"https://www.thingiverse.com/thing:5987843","5987843","https://www.thingiverse.com/","BRITAIN TRUCK ALBION CX22S","The British transport of the second world war ""Albion CX22S"" scaled to 1:87 is recreated. The wheels of the MATADOR transport are used, THINGIVERSE file owned by Mr. ""Jeremycon"".","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/40/16/98/be/69/0b2aabe3-7033-4b38-a830-3dd9602a5c9f.jpg"",""https://cdn.thingiverse.com/assets/e0/a3/b2/f8/61/ccc77378-c556-437b-a203-37d6ea94be2c.jpg"",""https://cdn.thingiverse.com/assets/5f/02/78/f7/4b/807a3d83-35c5-4cb7-8b22-bbec09587756.png"",""https://cdn.thingiverse.com/assets/d0/83/4b/97/fb/62b447cc-14fd-413b-bc5c-07dd0acdc2ab.png""]","{""name"":""pic***hus***"",""url"":""https://www.thingiverse.com/pichichus""}","[""ALBION TRANSPORT"",""SGM"",""truck""]","2023-04-24T00:00:24.000Z","https://api.thingiverse.com/things/5987843/files",0,8,2,
"https://www.thingiverse.com/thing:6825242","6825242","https://www.thingiverse.com/","Ring Noel","Création d'un rond pour noël ","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/5a/9d/c5/3a/d2/IMG_20241110_103513319.jpg"",""https://cdn.thingiverse.com/assets/d7/dc/b6/64/0c/Rond_de_noel.png"",""https://cdn.thingiverse.com/assets/35/38/4f/87/9f/essai_noel.jpg"",""https://cdn.thingiverse.com/assets/b7/bb/98/ad/74/Sans_nom.png""]","{""name"":""iha***tyl***"",""url"":""https://www.thingiverse.com/ihardstylerz""}",[],"2024-11-09T09:42:17.000Z","https://api.thingiverse.com/things/6825242/files",2,85,1,
"https://www.thingiverse.com/thing:6142048","6142048","https://www.thingiverse.com/","Inquisitors Lego Mini Figures","The rise of the inquisitors!

Including…

Marrok from the new Ahsoka series,
The helmet and amour for the seventh sister from rebels,
The helmet and amour for the fifth brother from rebels,","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/c1/5c/6a/95/6c/33f10691-f6b3-45a0-bce7-3661f23d7a9e.png"",""https://cdn.thingiverse.com/assets/45/99/54/9c/a7/c201a5f3-77eb-4402-ad38-1a873a5be287.png"",""https://cdn.thingiverse.com/assets/b6/69/af/6d/3e/3030d628-c39c-46d2-a4af-fca26be675e9.png"",""https://cdn.thingiverse.com/assets/b9/a6/c6/54/b5/0438872a-09ea-4afa-9f28-a8db9dbbc4a1.png"",""https://cdn.thingiverse.com/assets/05/49/fc/2e/38/e3f048a9-fa01-44e0-a373-78a38b874439.png""]","{""name"":""Ale***rdi***"",""url"":""https://www.thingiverse.com/Alextardis""}","[""LEGO"",""star wars""]","2023-07-26T19:12:12.000Z","https://api.thingiverse.com/things/6142048/files",0,7,5,
"https://www.thingiverse.com/thing:6778551","6778551","https://www.thingiverse.com/","Box with Lid","store your silica gel","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/7c/3d/dc/21/f2/Box_with_lid.png""]","{""name"":""Bin***2mo***"",""url"":""https://www.thingiverse.com/Bink662mojag""}","[""box"",""lid""]","2024-09-26T01:49:45.000Z","https://api.thingiverse.com/things/6778551/files",0,1,1,"Printer: sermoon v1 Rafts: No Supports: No Infill: 15 Filament brand: tecbears Filament color: black Filament material: pla"
"https://www.thingiverse.com/thing:6185535","6185535","https://www.thingiverse.com/","Suitcase for little whistle","I made this","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/b7/fc/95/00/1b/e6854c75-3e95-41cd-9f1f-f67606e5cc6a.png"",""https://cdn.thingiverse.com/assets/a3/56/da/6c/23/4d880df6-c94f-4255-be9f-f204cfaa0bbe.png"",""https://cdn.thingiverse.com/assets/ca/5f/2d/46/12/e8433eab-a1d7-4c6b-b8d2-9ee528ac6703.png""]","{""name"":""bla***654***"",""url"":""https://www.thingiverse.com/blake_6548""}",[],"2023-08-24T22:16:46.000Z","https://api.thingiverse.com/things/6185535/files",0,1,1,
"https://www.thingiverse.com/thing:6724578","6724578","https://www.thingiverse.com/","Roue de phases pour Altered","Simple petite roue pour savoir dans quelle phase on se trouve lors d'un tour du jeu Altered.
Pratique surtout pour l'initiation de nouveaux joueurs.

Le disque est décoré avec un autocollant qui reprends les logo des phases (pdf fourni)","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/4f/21/e0/28/75/788467ed-1841-4ae0-b669-db75cca1053b.png"",""https://cdn.thingiverse.com/assets/9c/c1/ec/cf/4b/67602835-0e3f-4265-bec4-af67a284fa07.png"",""https://cdn.thingiverse.com/assets/80/f9/22/64/33/6a62a1b3-0c78-4404-a55d-2951af935e0e.png"",""https://cdn.thingiverse.com/assets/34/c9/26/be/d2/39db571d-4ae3-4993-ada3-29cf7d52f570.jpg""]","{""name"":""Rac***t"",""url"":""https://www.thingiverse.com/Racklet""}","[""altered tcg""]","2024-08-09T11:52:44.000Z","https://api.thingiverse.com/things/6724578/files",0,3,4,"Printer brand: Biqu Printer: Biqu B1 Rafts: No Supports: No Infill: 15 Filament brand: Rosa Filament color: Grey Filament material: EcoPLA"
"https://www.thingiverse.com/thing:6823442","6823442","https://www.thingiverse.com/","Fun Rubber Gun whit Bullets and Target","a Gun you shot plastic bullets whit, made to be easy to asembel, you just need a rubber band and som glue, you will be Using the glue for the Gun Sight only.

Easy to asseble

","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/6e/a9/52/bf/49/Fun_Gun_Whit_bullets_and_a_target_1.png""]","{""name"":""******"",""url"":""https://www.thingiverse.com/Ahlle""}","[""fun"",""Fun Rubber gun"",""gun"",""pellet gun"",""rubber gun"",""rubber band gun"",""Target"",""target shooting"",""toy"",""toy gun""]","2024-11-07T19:16:52.000Z","https://api.thingiverse.com/things/6823442/files",2,43,1,"Printer brand: Creality Printer: Ender 3 Pro Rafts: No Supports: No Filament brand: sunlu Filament material: pla"
"https://www.thingiverse.com/thing:6683921","6683921","https://www.thingiverse.com/","Lancer Maple Compact slingshot","Scanned with Spider","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/85/d9/75/a3/7a/d6984a40-5fd7-41bf-adf1-171887142e1a.jpg"",""https://cdn.thingiverse.com/assets/8b/ed/f7/95/8e/156956b8-5b55-4664-9131-316247479171.jpg"",""https://cdn.thingiverse.com/assets/d7/c0/30/e6/f9/34fd6818-0472-4174-ab40-c2707cf1427b.jpg""]","{""name"":""sil***nes***d"",""url"":""https://www.thingiverse.com/siliconesword""}","[""slingshot""]","2024-07-03T20:15:11.000Z","https://api.thingiverse.com/things/6683921/files",0,0,1,"Printer brand: Sovol 3D Printer: Sovol SV06 Rafts: Doesn't Matter Supports: Yes Resolution: .12 Infill: 60 Filament brand: Elegoo Filament material: PLA+ Notes: 5mm walls"
"https://www.thingiverse.com/thing:6694865","6694865","https://www.thingiverse.com/","Tappo femmina e maschio DMX","Tappo femmina e maschio DMX

Benvenuti nel profilo Lor Passion!

Se ti piacciono gli aerei, modellismo dinamico e statico (aerei, droni, racing e voli FPV), fotografia, progettazione 3d, stampanti 3d ed astronomia, Raspberry e fare qualche modifica o abbellimento alla vostra auto, in generale, questa è la pagina che fa per voi.
Seguitemi anche su YouTube

Pagina dedicata:
https://lorpassion.wordpress.com/tyro-109-acessori-e-foto-costruzione/

Canale YouTube:
https://www.youtube.com/channel/UCZz1ayEUqMhaQa-d0Nhbrew

Sito:
https://lorpassion.wordpress.com","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/0c/79/df/a3/5c/4fdb36fc-c332-459e-893e-6f592ff853d9.png"",""https://cdn.thingiverse.com/assets/08/70/9d/6b/cf/72444701-96ba-4e4b-81bf-2f5215a768a8.png""]","{""name"":""Lor***oC"",""url"":""https://www.thingiverse.com/LorenzoC""}",[],"2024-07-13T14:01:47.000Z","https://api.thingiverse.com/things/6694865/files",0,0,2,
"https://www.thingiverse.com/thing:6046667","6046667","https://www.thingiverse.com/","Starship Troopers: Exterminatio bugs","Please give it a like if you find it helpful. Thank you!

We have made 3 models of bugs from Starship Troopers: Extermination, as well as 2 bases. If you are interested in this model, we will consider adding other types of bugs later. However, it is not very suitable for printing on FDM devices.

It includes the Warrior Bugs and Plasma Bugs from the Starship Troopers: Extermination game.

To use this model, please credit the source.

The complete 3 sets of designs are available for download at https://cults3d.com/:1239359

This account has been deprecated, please migrate to https://twitter.com/BPCSbpcs","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/f0/b3/60/58/e4/81e01b59-ed26-4cb5-9b95-2fc3dd3bd09b.jpg"",""https://cdn.thingiverse.com/assets/b5/ed/5b/d6/af/7b469acb-27ab-4a5e-83e7-e6dc9d057d32.png""]","{""name"":""******"",""url"":""https://www.thingiverse.com/SS-D""}","[""3D printing"",""action figures"",""Alien Creatures"",""gaming"",""insects"",""miniatures"",""movie props"",""science fiction""]","2023-05-26T16:28:35.000Z","https://api.thingiverse.com/things/6046667/files",1,223,1,
"https://www.thingiverse.com/thing:6805756","6805756","https://www.thingiverse.com/","Mediator","The most common mediator with an engraving of my nickname 😉","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/38/53/21/f4/71/nikestar.png""]","{""name"":""NIk***ar"",""url"":""https://www.thingiverse.com/NIkeStar""}","[""guitar"",""Mediator""]","2024-10-22T13:12:30.000Z","https://api.thingiverse.com/things/6805756/files",0,0,1,
"https://www.thingiverse.com/thing:6082461","6082461","https://www.thingiverse.com/","Catan Cities and Knights - Knights","Knight pieces for Settlers of Catan cities and knights' expansion. The best outcome is if you set the x face on the build plate and use a second filament color for the last few layers.","Creative Commons - Attribution","[""https://cdn.thingiverse.com/assets/22/7d/34/e7/72/3e35d165-c1ff-4aab-b966-932e71768211.png"",""https://cdn.thingiverse.com/assets/97/93/ed/d5/d4/88b702f2-79ef-451c-ae2a-1de7539140d3.png""]","{""name"":""Jul***A"",""url"":""https://www.thingiverse.com/JuliaPA""}","[""catan"",""Catan Pieces"",""cities and knights"",""Settlers of Catan""]","2023-06-17T09:38:26.000Z","https://api.thingiverse.com/things/6082461/files",0,1,1,"Printer: Ender 3 V2 Pro Rafts: No Supports: No Filament brand: Overture Filament material: PLA"
"https://www.thingiverse.com/thing:6791385","6791385","https://www.thingiverse.com/","ainhoa","llavero de  ainhoa","Creative Commons - Attribution - Share Alike","[""https://cdn.thingiverse.com/assets/1e/df/89/9d/c0/Ainhoa.png"",""https://cdn.thingiverse.com/assets/ef/a6/61/0d/7f/Screenshot_1.png""]","{""name"":""******"",""url"":""https://www.thingiverse.com/Aldezo""}",[],"2024-10-08T15:34:07.000Z","https://api.thingiverse.com/things/6791385/files",0,0,1,
